CustomerID,InvoiceNo,InvoiceDate,Quantity,UnitPrice,TotalSpend
12345,INV001,2023-06-01 12:00:00,10,2.5,25.0
12346,INV002,2023-06-01 13:00:00,5,5.0,25.0
12347,INV003,2023-06-01 14:00:00,8,3.0,24.0
12348,INV004,2023-06-01 15:00:00,3,10.0,30.0
12349,INV005,2023-06-01 16:00:00,15,1.5,22.5
12345,INV006,2023-06-02 12:00:00,7,2.5,17.5
12346,INV007,2023-06-02 13:00:00,4,5.0,20.0
12347,INV008,2023-06-02 14:00:00,6,3.0,18.0
12348,INV009,2023-06-02 15:00:00,2,10.0,20.0
12349,INV010,2023-06-02 16:00:00,12,1.5,18.0
12345,INV011,2023-06-03 12:00:00,9,2.5,22.5
12346,INV012,2023-06-03 13:00:00,6,5.0,30.0
12347,INV013,2023-06-03 14:00:00,10,3.0,30.0
12348,INV014,2023-06-03 15:00:00,5,10.0,50.0
12349,INV015,2023-06-03 16:00:00,20,1.5,30.0
